district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Marmara,29,7880,7070,6913,2562,435,14,15,400,2636,42,726,68,13,2,Balıkesir
Gömeç,36,11307,10467,10196,2893,478,7,28,821,4435,84,1380,37,30,3,Balıkesir
Altıeylül,409,130512,118368,116027,52873,10263,152,282,2882,28275,1298,18521,1095,357,29,Balıkesir
Karesi,402,134333,122768,120390,55062,11205,162,253,2286,27401,1767,20721,1130,363,40,Balıkesir
Atabey,18,4209,3944,3843,1944,288,11,15,76,400,52,1015,29,13,0,Isparta
Eğirdir,94,24117,21439,20659,10503,2367,96,73,207,2956,202,3941,262,52,0,Isparta
Gelendost,43,12257,10571,10153,4078,1381,31,58,54,2547,158,1711,110,25,0,Isparta
Isparta Merkez,493,172136,156139,153296,70296,19739,251,355,3440,24849,2570,29824,1522,450,0,Isparta
Keçiborlu,45,11165,10180,9803,4801,979,39,31,60,1824,170,1776,98,25,0,Isparta
Senirkent,37,8967,7823,7543,2989,1244,30,34,52,1141,51,1879,100,23,0,Isparta
Sütçüler,46,8663,7676,7375,5225,592,25,34,33,470,83,815,87,11,0,Isparta
Şarkikaraağaç,73,19693,17344,16720,7750,2589,64,74,117,2344,285,3265,196,36,0,Isparta
Uluborlu,20,5064,4313,4193,1869,451,15,15,72,838,44,843,32,14,0,Isparta
Yalvaç,124,34971,29383,28325,13352,4989,106,127,220,4530,400,4136,400,65,0,Isparta
Aksu,22,3664,3216,3028,1520,214,29,49,32,707,35,415,20,7,0,Isparta
Gönen,22,5741,5296,5179,2109,507,10,24,127,1387,57,904,41,13,0,Isparta
Yenişarbademli,7,1769,1545,1489,659,109,3,8,13,411,11,262,9,4,0,Isparta
Bingöl Merkez,345,102887,84313,80530,45579,4419,3176,144,21448,1045,924,3273,457,65,0,Bingöl
Genç,91,23314,18931,18177,11265,1794,831,48,2539,119,160,1277,131,13,0,Bingöl
Karlıova,68,18844,14745,13821,3671,304,1396,71,7778,188,158,196,45,14,0,Bingöl
Kiğı,17,3868,3139,2970,1089,232,21,10,1025,374,24,175,15,5,0,Bingöl
Solhan,79,22012,17743,17015,11869,906,814,34,2491,135,188,456,110,12,0,Bingöl
Adaklı,26,6165,5074,4809,2872,220,44,17,1210,163,47,202,24,10,0,Bingöl
Yayladere,21,1716,1310,1235,227,89,0,4,682,183,6,32,10,2,0,Bingöl
Yedisu,10,2185,1949,1858,479,111,14,4,877,296,10,50,9,8,0,Bingöl
Bolu Merkez,466,140419,125882,123493,55887,18316,178,335,2815,30411,1870,11843,1434,404,0,Bolu
Gerede,141,25321,23323,22989,15152,5120,20,30,63,1004,397,795,384,24,0,Bolu
Göynük,79,12059,10916,10591,7065,1327,37,46,39,1006,173,787,102,9,0,Bolu
Kıbrıscık,25,2586,2271,2191,1066,114,9,15,23,710,33,198,13,10,0,Bolu
Mengen,75,11342,9743,9419,5027,658,40,48,71,2503,127,811,108,26,0,Bolu
Mudurnu,91,15147,13678,13259,7199,1593,53,59,97,2496,134,1457,141,30,0,Bolu
Seben,38,4410,3827,3710,2028,336,18,8,20,699,33,512,43,13,0,Bolu
Dörtdivan,34,5374,4947,4880,3336,971,13,13,6,198,49,228,62,4,0,Bolu
Yeniçağa,28,5797,5147,5043,3394,665,6,8,6,500,182,211,66,5,0,Bolu
Akçadağ,106,20804,18294,17996,7030,3421,34,23,2940,3698,145,566,119,20,0,Malatya
Arapgir,70,8262,7199,7009,2954,915,17,20,439,2124,83,384,52,21,0,Malatya
Arguvan,51,6383,5736,5626,866,186,23,16,1498,2950,16,54,13,4,0,Malatya
Darende,98,19314,16900,16686,11039,2746,30,19,429,1329,235,683,166,10,0,Malatya
Doğanşehir,103,28609,25409,24749,9551,4075,73,70,3105,5623,334,1632,262,24,0,Malatya
Hekimhan,88,14735,13130,12852,4012,1376,45,42,783,5507,254,752,57,24,0,Malatya
Pütürge,90,11081,9091,8963,6735,820,20,16,223,746,123,190,84,6,0,Malatya
Yeşilyurt,628,213934,188871,185841,93518,32751,670,210,11933,32781,2934,9104,1683,257,0,Malatya
Battalgazi,618,209180,182578,179432,108357,28150,644,197,9414,21605,2918,6341,1616,190,0,Malatya
Doğanyol,19,3084,2366,2290,1467,362,6,10,40,238,42,102,22,1,0,Malatya
Kale,29,4461,4230,4186,3207,516,18,2,50,263,40,74,15,1,0,Malatya
Kuluncak,32,5996,5296,5136,2425,910,9,15,219,1194,39,280,41,4,0,Malatya
Yazıhan,44,9506,8051,7920,3809,1185,30,15,1008,1547,84,185,54,3,0,Malatya
Ermenek,92,21208,18511,17700,7627,2208,96,137,134,3691,192,3366,199,50,0,Karaman
Karaman Merkez,438,131427,120080,117772,64428,18035,184,267,1406,17482,2087,12166,1496,221,0,Karaman
Ayrancı,34,6484,5701,5484,2677,729,15,32,28,1208,50,682,54,9,0,Karaman
Kazımkarabekir,14,3016,2742,2686,1655,379,4,6,15,311,23,252,38,3,0,Karaman
Başyayla,13,2756,2384,2288,1221,630,8,17,5,126,28,219,32,2,0,Karaman
Sarıveliler,36,8609,7412,7042,2890,845,49,62,83,1790,51,1199,58,15,0,Karaman
Alaçam,94,20159,17822,17027,7950,2439,64,83,249,3433,158,2369,228,45,9,Samsun
Bafra,369,108815,95550,92850,46984,16374,198,220,813,12701,1106,13039,1209,191,15,Samsun
Çarşamba,339,101695,89225,86572,52676,13072,150,185,517,9792,1160,7175,1277,127,441,Samsun
Havza,139,30219,27021,26247,12463,6279,50,66,365,4633,337,1605,404,38,7,Samsun
Kavak,105,16090,14531,14048,7491,2827,58,64,68,1581,164,1508,250,32,5,Samsun
Ladik,79,13433,12102,11743,6010,2253,32,30,83,1865,169,1110,162,24,5,Samsun
Terme,190,55684,49166,47729,29448,6140,79,103,259,5975,992,3981,674,64,14,Samsun
Vezirköprü,262,65400,59016,57167,37092,7674,115,172,322,5284,680,4927,806,80,15,Samsun
Asarcık,52,11831,10708,10477,6081,2963,34,17,18,503,97,557,196,8,3,Samsun
19 Mayıs,71,19340,17053,16565,10549,2222,33,34,101,1705,227,1480,183,24,7,Samsun
Salıpazarı,59,14442,12839,12454,7888,1732,25,22,38,1495,127,887,215,19,6,Samsun
Tekkeköy,131,38119,34446,33533,18042,4496,46,65,155,6490,465,3357,341,62,14,Samsun
Ayvacık,59,14476,12974,12644,8122,2769,26,27,17,667,73,703,221,9,10,Samsun
Yakakent,26,6679,6027,5699,2996,455,19,23,115,1120,89,805,63,10,4,Samsun
Atakum,382,132649,117032,115160,41973,15991,77,201,3488,32740,1836,17300,1093,409,52,Samsun
Canik,217,69450,62097,60675,35070,10771,73,96,387,7083,853,5208,993,129,12,Samsun
İlkadım,673,240646,211329,207135,91139,35306,202,340,3650,44741,3321,25066,2654,620,96,Samsun
Gümüşhane Merkez,198,35848,29032,28406,13879,6305,49,34,327,2260,640,4465,394,53,0,Gümüşhane
Kelkit,136,26843,21316,20975,13379,3959,79,33,179,1155,380,1548,243,20,0,Gümüşhane
Şiran,93,14729,10833,10473,5520,1975,26,26,86,1150,279,1180,207,24,0,Gümüşhane
Torul,65,8745,7246,7002,3470,1693,30,33,28,603,127,864,140,14,0,Gümüşhane
Köse,24,4959,4317,4244,2968,840,8,7,3,44,60,246,66,2,0,Gümüşhane
Kürtün,59,9551,7989,7758,4908,1427,28,45,31,368,89,745,104,13,0,Gümüşhane
Seçim çevresi toplamı (1 nolu),10422,3820086,3403734,3350363,1356935,270335,4766,7322,372793,972092,52353,275679,26274,9911,1903,İstanbul
Adalar,36,11967,10534,10367,2329,479,8,41,2413,4151,69,775,54,35,13,İstanbul
Beykoz,513,184234,165047,161932,76529,13999,149,377,9783,40879,3201,15004,1448,503,60,İstanbul
Kadıköy,995,363413,323427,320213,55342,9926,175,1251,43165,172921,2788,31568,1159,1499,419,İstanbul
Kartal,938,344826,308276,303767,114125,23338,552,654,33378,97452,4577,26417,2177,908,189,İstanbul
Şile,103,26912,24516,23837,10441,2362,47,77,1481,5753,357,3027,207,78,7,İstanbul
Üsküdar,1095,400677,355355,349999,145661,24363,350,967,30300,102496,7521,34295,2559,1262,225,İstanbul
Pendik,1332,491711,435313,428146,203611,46626,803,818,34724,94617,7616,33879,4253,1066,133,İstanbul
