age,male,female,all,city,district
25-29,10603,12112,22715,İstanbul,Beylikdüzü
30-34,12604,14339,26943,İstanbul,Beylikdüzü
35-39,14371,15852,30223,İstanbul,Beylikdüzü
40-44,13198,13435,26633,İstanbul,Beylikdüzü
45-49,10977,11319,22296,İstanbul,Beylikdüzü
50-54,8886,8886,17772,İstanbul,Beylikdüzü
55-59,7215,7511,14726,İstanbul,Beylikdüzü
60-64,5443,5868,11311,İstanbul,Beylikdüzü
65-69,3877,4279,8156,İstanbul,Beylikdüzü
70-74,2413,2762,5175,İstanbul,Beylikdüzü
75+,2382,3667,6049,İstanbul,Beylikdüzü
18-24,7185,7729,14914,Hatay,Defne
25-29,4542,5071,9613,Hatay,Defne
30-34,5334,5893,11227,Hatay,Defne
35-39,5736,6444,12180,Hatay,Defne
40-44,5465,6027,11492,Hatay,Defne
45-49,5013,5410,10423,Hatay,Defne
50-54,4859,4866,9725,Hatay,Defne
55-59,3941,3966,7907,Hatay,Defne
60-64,3034,2993,6027,Hatay,Defne
65-69,1978,1976,3954,Hatay,Defne
70-74,1149,1251,2400,Hatay,Defne
75+,2025,2250,4275,Hatay,Defne
18-24,399,322,721,Rize,Derepazarı
25-29,215,202,417,Rize,Derepazarı
30-34,220,179,399,Rize,Derepazarı
35-39,216,200,416,Rize,Derepazarı
40-44,222,211,433,Rize,Derepazarı
45-49,274,258,532,Rize,Derepazarı
50-54,279,252,531,Rize,Derepazarı
55-59,266,251,517,Rize,Derepazarı
60-64,218,274,492,Rize,Derepazarı
65-69,166,206,372,Rize,Derepazarı
70-74,145,193,338,Rize,Derepazarı
75+,188,342,530,Rize,Derepazarı
18-24,1538,1744,3282,Hatay,Belen
25-29,1055,1114,2169,Hatay,Belen
30-34,1214,1229,2443,Hatay,Belen
35-39,1305,1252,2557,Hatay,Belen
40-44,1061,1073,2134,Hatay,Belen
45-49,1002,1029,2031,Hatay,Belen
50-54,984,970,1954,Hatay,Belen
55-59,828,971,1799,Hatay,Belen
60-64,770,776,1546,Hatay,Belen
65-69,669,638,1307,Hatay,Belen
70-74,428,392,820,Hatay,Belen
75+,452,524,976,Hatay,Belen
18-24,1287,1263,2550,Denizli,Buldan
25-29,784,726,1510,Denizli,Buldan
30-34,843,919,1762,Denizli,Buldan
35-39,1066,1041,2107,Denizli,Buldan
40-44,995,984,1979,Denizli,Buldan
45-49,914,984,1898,Denizli,Buldan
50-54,933,1001,1934,Denizli,Buldan
55-59,963,956,1919,Denizli,Buldan
60-64,770,816,1586,Denizli,Buldan
65-69,533,638,1171,Denizli,Buldan
70-74,410,489,899,Denizli,Buldan
75+,629,998,1627,Denizli,Buldan
18-24,1109,1097,2206,Sivas,Kangal
25-29,728,656,1384,Sivas,Kangal
30-34,663,629,1292,Sivas,Kangal
35-39,758,573,1331,Sivas,Kangal
40-44,661,572,1233,Sivas,Kangal
45-49,641,583,1224,Sivas,Kangal
50-54,650,648,1298,Sivas,Kangal
55-59,610,625,1235,Sivas,Kangal
60-64,713,617,1330,Sivas,Kangal
65-69,599,642,1241,Sivas,Kangal
70-74,505,526,1031,Sivas,Kangal
75+,654,901,1555,Sivas,Kangal
18-24,6153,6351,12504,Aydın,Söke
25-29,4287,3957,8244,Aydın,Söke
30-34,4190,4027,8217,Aydın,Söke
35-39,4346,4483,8829,Aydın,Söke
40-44,4235,4091,8326,Aydın,Söke
45-49,3941,3879,7820,Aydın,Söke
50-54,3755,3879,7634,Aydın,Söke
55-59,3692,3703,7395,Aydın,Söke
60-64,3146,3307,6453,Aydın,Söke
65-69,2347,2550,4897,Aydın,Söke
70-74,1563,1923,3486,Aydın,Söke
75+,2090,3222,5312,Aydın,Söke
18-24,2418,2366,4784,Trabzon,Of
25-29,1361,1379,2740,Trabzon,Of
30-34,1253,1203,2456,Trabzon,Of
35-39,1269,1303,2572,Trabzon,Of
40-44,1372,1289,2661,Trabzon,Of
45-49,1430,1462,2892,Trabzon,Of
50-54,1526,1509,3035,Trabzon,Of
55-59,1443,1380,2823,Trabzon,Of
60-64,1349,1383,2732,Trabzon,Of
65-69,1008,1130,2138,Trabzon,Of
70-74,650,892,1542,Trabzon,Of
75+,1001,1759,2760,Trabzon,Of
18-24,2699,2835,5534,Denizli,Acıpayam
25-29,1627,1458,3085,Denizli,Acıpayam
30-34,1767,1612,3379,Denizli,Acıpayam
35-39,1914,1767,3681,Denizli,Acıpayam
40-44,1981,1844,3825,Denizli,Acıpayam
45-49,1979,1896,3875,Denizli,Acıpayam
50-54,1982,1886,3868,Denizli,Acıpayam
55-59,1824,1915,3739,Denizli,Acıpayam
60-64,1569,1571,3140,Denizli,Acıpayam
65-69,1403,1536,2939,Denizli,Acıpayam
70-74,1065,1314,2379,Denizli,Acıpayam
75+,1596,2423,4019,Denizli,Acıpayam
18-24,4512,4557,9069,Mardin,Derik
25-29,2412,2367,4779,Mardin,Derik
30-34,1985,2021,4006,Mardin,Derik
35-39,1817,1765,3582,Mardin,Derik
40-44,1410,1499,2909,Mardin,Derik
45-49,1187,1248,2435,Mardin,Derik
50-54,1028,1008,2036,Mardin,Derik
55-59,654,737,1391,Mardin,Derik
60-64,531,570,1101,Mardin,Derik
65-69,338,571,909,Mardin,Derik
70-74,297,391,688,Mardin,Derik
75+,507,806,1313,Mardin,Derik
18-24,273,272,545,Artvin,Murgul
25-29,200,192,392,Artvin,Murgul
30-34,212,215,427,Artvin,Murgul
35-39,242,172,414,Artvin,Murgul
40-44,193,174,367,Artvin,Murgul
45-49,207,188,395,Artvin,Murgul
50-54,235,217,452,Artvin,Murgul
