age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
50-54,1104,1009,2113,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
55-59,1071,982,2053,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
60-64,1020,1034,2054,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
65-69,764,818,1582,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
70-74,407,658,1065,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
75+,859,1341,2200,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
18-24,2357,2254,4611,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
25-29,1188,1048,2236,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
30-34,815,774,1589,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
35-39,824,867,1691,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
40-44,656,724,1380,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
45-49,593,567,1160,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
50-54,536,504,1040,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
55-59,410,373,783,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
60-64,330,406,736,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
65-69,272,369,641,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
70-74,167,220,387,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
75+,249,432,681,Batman,Beşiri,84.0,16935.0,14707.0,14164.0,3804.0,127.0,0.0,16.0,8825.0,144.0,503.0,160.0,46.0,7.0,532.0
18-24,6575,7218,13793,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
25-29,4472,4544,9016,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
30-34,4502,4569,9071,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
35-39,4574,4707,9281,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
40-44,4099,4246,8345,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
45-49,3922,4130,8052,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
50-54,3901,3982,7883,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
55-59,3410,3286,6696,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
60-64,2753,2765,5518,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
65-69,1855,2207,4062,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
70-74,1179,1511,2690,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
75+,1653,2420,4073,Ankara,Polatlı,295.0,88480.0,76087.0,74400.0,32678.0,12081.0,115.0,155.0,4735.0,11563.0,918.0,11102.0,879.0,157.0,17.0
